time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,xdes_x,xdes_y,xdes_z,roll,pitch,yaw
26.669,1.1824861047851503,2.248111542366142,3.391664589537653,-0.025253907353760957,-0.0056268804833186584,-0.050802614399372455,1.0956975,2.30077,3.3561428,0.0,0.0,0.0
26.677,1.182233485972304,2.2480558935813515,3.3911580550925153,-0.0252686037844799,-0.005517936310682058,-0.05052970409543832,1.0972825,2.299687,3.3563006,6.152419533833609e-07,-0.00018126260362727464,-0.0009033752568097242
26.688,1.1819554270664938,2.2479957609588466,3.3906042113546735,-0.025295883652602085,-0.005396371471076975,-0.050196557850487704,1.0973014,2.301054,3.3581586,6.836024919465444e-07,-0.0001953553420475096,-0.0005904462093218044
26.699,1.1817024706705184,2.2479417781785447,3.390103923167818,-0.02530355620626718,-0.005377424333837745,-0.04987855026444605,1.0972179,2.3030865,3.357609,7.559699399806163e-07,-0.00020987642050851463,-0.00028039151847458754
26.708,1.1814493335936738,2.247888158716661,3.389607318460058,-0.02532219844441661,-0.005353197659585428,-0.04946814640192936,1.0983713,2.3007467,3.356896,8.126649015949283e-07,-0.00022041723048005224,-5.235911233025803e-05
26.717,1.1812213457192304,2.2478399991236095,3.38916422743733,-0.02533993328927974,-0.005351940244581669,-0.04904484697013778,1.1008066,2.299946,3.3550804,8.606109709319298e-07,-0.00022853144998524755,0.00012999304878391627
26.728,1.1809678344478522,2.2477864034665127,3.3886762398142465,-0.025360362544032122,-0.005368189261615936,-0.04859868188997547,1.0994661,2.2999363,3.3547966,9.050126870135955e-07,-0.00023120101406615134,0.00029247336452087325
26.738,1.1806887351589965,2.2477271643806853,3.3881445301184674,-0.025393546906547316,-0.005420418961302934,-0.04811687672966339,1.0988542,2.3002489,3.354016,9.350874599078907e-07,-0.00022011731297499892,0.00040753013995953324
26.749,1.1804348014429225,2.247672921955581,3.387665448252274,-0.025411356874604194,-0.005467582955785217,-0.047732268220006376,1.098638,2.301066,3.3536325,9.606704605147343e-07,-0.00019332869976018685,0.0005239178633571484
26.759,1.1801806919173188,2.2476182000752027,3.3871898803872367,-0.025426170561157858,-0.005525100105166345,-0.04740671508326735,1.0983415,2.3026094,3.3529162,9.784104975096852e-07,-0.0001607831068555221,0.0006312233123368927
26.767,1.1799518676949732,2.2475684540903926,3.3867644521446953,-0.025429988812903634,-0.005553073668389279,-0.047157596868444486,1.0954523,2.302196,3.3523622,9.883804921173578e-07,-0.00013272212944892559,0.0007154737679009315
26.777,1.1796975100026803,2.247512534149328,3.386294450986435,-0.025439992871753206,-0.005625253481781649,-0.046867494322225124,1.097365,2.3014693,3.3521817,9.950699144667396e-07,-9.970214103116604e-05,0.0008054790649789645
